Name,Symbol,Price (USD),24Hr %Change,7Days %Change,30Days %Change,90Days %Change,Market Cap (USD),24Hr Volume (USD),24Hr Volume (COIN),Circulating_Supply,No. of Owners
Manchester City,CITY,$15.22,2.02%,4.90%,34.27%,45.71%,"$53,376,632.00","$12,062,368.00","792,790 CITY","3,508,140 CITY","17,889"
Paris Saint-Germain,PSG,$13.73,1.40%,5.41%,8.11%,8.05%,"$42,704,516.00","$6,768,796.50","493,130 PSG","3,111,171 PSG","20,483"
FC Barcelona,BAR,$8.55,1.30%,6.74%,7.85%,8.09%,"$33,782,960.00","$1,835,944.50","214,767 BAR","3,951,904 BAR","19,368"
Trabzonspor,TRA,$8.43,3.51%,3.46%,84.68%,92.29%,"$19,874,160.00","$7,724,333.50","915,798 TRA","2,356,284 TRA","10,173"
AC Milan,ACM,$5.98,2.17%,13.63%,31.58%,23.27%,"$18,781,216.00","$5,563,583.50","930,513 ACM","3,141,172 ACM","26,865"
Atletico Madrid,ATM,$5.61,8.19%,11.88%,15.82%,16.61%,"$11,705,253.00","$5,123,071.00","913,415 ATM","2,086,980 ATM","16,044"
Galatasaray,GAL,$3.21,1.65%,5.95%,17.59%,15.21%,"$11,254,291.00","$1,031,767.56","321,566 GAL","3,507,572 GAL","13,663"
AS Roma,ASR,$3.70,2.72%,6.21%,10.30%,3.46%,"$8,001,544.00","$8,426,994.00","2,278,904 ASR","2,163,850 ASR","22,804"
Juventus,JUV,$5.80,2.60%,7.31%,15.06%,27.62%,"$7,628,444.00","$4,726,968.50","815,418 JUV","1,315,932 JUV","21,952"
OG,OG,$3.65,2.48%,11.57%,1.97%,14.32%,"$4,655,190.50","$5,461,475.00","1,495,286 OG","1,274,535 OG","8,339"
Göztepe S.K.,GOZ,$3.78,1.70%,18.25%,320.41%,172.06%,"$4,157,172.75","$3,663,812.75","969,456 GOZ","1,100,000 GOZ","11,653"
Young Boys,YBO,$1.03,7.32%,6.34%,4.33%,26.99%,"$1,030,230.56","$125,493.77","122,438 YBO","1,001,392 YBO","13,322"
Istanbul Basaksehir,IBFK,$1.69,0.13%,4.07%,35.65%,12.53%,"$1,018,330.38","$214,642.91","126,733 IBFK","601,261 IBFK","8,795"
Apollon Limassol,APL,$2.34,3.61%,2.23%,32.26%,11.87%,"$770,982.00","$274,812.53","242,384,752 APL","329,306 APL","4,308"
Natus Vincere,NAVI,$0.69,5.78%,2.85%,2.80%,23.50%,"$688,633.50","$86,246.01","125,376 NAVI","1,001,066 NAVI","7,125"
Professional Fighters League,PFL,$0.51,4.73%,10.47%,3.64%,25.74%,"$660,032.44","$65,611.80","128,652 PFL","1,294,194 PFL","9,900"
Sint-Truidense V.V,STV,$2.76,11.43%,37.69%,49.20%,80.96%,"$557,570.31","$267,052.97","96,865 STV","202,242 STV","2,348"
Universidad de Chile,UCH,$1.15,5.09%,6.91%,30.42%,48.44%,"$432,083.97","$140,626.45","122,125 UCH","375,236 UCH","6,419"
Alliance,ALL,$0.42,0.32%,5.67%,0.15%,37.54%,"$417,970.66","$50,581.66","5,629,739 ALL","1,001,165 ALL","12,058"
Club Atletico Independiente,CAI,$0.61,0.20%,3.10%,1.88%,25.13%,"$398,014.84","$81,479.93","133,656 CAI","652,888 CAI","8,935"
Legia Warsaw,LEG,$0.89,8.71%,5.10%,22.86%,45.22%,"$378,681.72","$110,279.00","124,306 LEG","426,850 LEG","7,118"
Team Heretics,TH,$0.72,7.13%,4.62%,12.54%,13.98%,"$310,592.91","$89,450.06","124,454 TH","432,137 TH","5,623"
Novara Calcio,NOV,$0.91,0.99%,2.85%,14.29%,14.34%,"$182,706.22","$114,815.61","126,385 NOV","201,117 NOV","3,461"
Fortuna Sittard,FOR,$0.69,13.26%,0.78%,24.88%,42.36%,"$99,745.53","$73,328.27","1,801,716 FOR","145,000 FOR","6,652"
