Name,Symbol,Price (USD),24Hr %Change,7Days %Change,30Days %Change,90Days %Change,Market Cap (USD),24Hr Volume (USD),24Hr Volume (COIN),Circulating_Supply,No. of Owners
Manchester City,CITY,$15.21,1.73%,4.26%,33.84%,45.45%,"$53,371,676.00","$12,217,672.00","803,072 CITY","3,508,140 CITY","17,889"
Paris Saint-Germain,PSG,$13.68,1.47%,5.71%,6.45%,8.37%,"$42,576,176.00","$6,727,188.00","491,469 PSG","3,111,171 PSG","20,483"
FC Barcelona,BAR,$8.56,0.87%,7.28%,7.61%,8.26%,"$33,832,996.00","$1,843,034.38","214,938 BAR","3,951,904 BAR","19,369"
Trabzonspor,TRA,$8.41,3.23%,3.38%,83.79%,92.50%,"$19,818,708.00","$7,690,389.00","914,325 TRA","2,356,284 TRA","10,173"
AC Milan,ACM,$5.94,2.54%,13.88%,31.54%,22.82%,"$18,658,430.00","$5,508,311.00","927,332 ACM","3,141,172 ACM","26,865"
Atletico Madrid,ATM,$5.61,7.79%,12.15%,16.06%,16.75%,"$11,699,064.00","$5,157,873.50","920,106 ATM","2,086,980 ATM","16,045"
Galatasaray,GAL,$3.20,1.81%,5.25%,17.95%,15.12%,"$11,223,368.00","$1,039,057.13","324,730 GAL","3,507,572 GAL","13,662"
AS Roma,ASR,$3.70,2.37%,6.24%,9.98%,3.54%,"$8,002,711.00","$8,290,201.00","2,241,585 ASR","2,163,850 ASR","22,806"
Juventus,JUV,$5.78,2.81%,6.85%,15.92%,27.73%,"$7,609,373.00","$4,738,150.50","819,395 JUV","1,315,932 JUV","21,952"
OG,OG,$3.66,2.13%,11.10%,2.15%,15.33%,"$4,662,050.00","$5,502,996.00","1,504,437 OG","1,274,535 OG","8,339"
Göztepe S.K.,GOZ,$3.73,4.45%,16.83%,312.84%,170.46%,"$4,106,284.75","$3,914,416.75","1,048,602 GOZ","1,100,000 GOZ","11,653"
Young Boys,YBO,$1.03,4.23%,4.26%,7.28%,29.48%,"$1,030,955.19","$126,307.72","122,686 YBO","1,001,392 YBO","13,323"
Istanbul Basaksehir,IBFK,$1.68,0.55%,1.66%,34.60%,12.45%,"$1,012,334.69","$214,407.13","127,350 IBFK","601,261 IBFK","8,796"
Apollon Limassol,APL,$2.34,3.66%,1.37%,32.94%,12.30%,"$769,506.25","$272,931.69","235,987,424 APL","329,306 APL","4,308"
Natus Vincere,NAVI,$0.68,5.93%,2.98%,1.52%,23.53%,"$685,503.81","$85,481.46","124,832 NAVI","1,001,066 NAVI","7,119"
Professional Fighters League,PFL,$0.51,5.38%,10.50%,4.01%,25.91%,"$657,066.56","$64,782.67","127,606 PFL","1,294,194 PFL","9,903"
Sint-Truidense V.V,STV,$2.76,11.43%,37.69%,49.20%,80.96%,"$557,570.31","$267,052.97","96,865 STV","202,242 STV","2,348"
Universidad de Chile,UCH,$1.15,5.61%,2.20%,30.02%,49.09%,"$431,524.03","$140,371.73","122,062 UCH","375,236 UCH","6,419"
Alliance,ALL,$0.42,0.16%,5.79%,1.38%,37.82%,"$416,092.47","$50,602.61","5,632,070 ALL","1,001,165 ALL","12,060"
Club Atletico Independiente,CAI,$0.61,0.76%,2.49%,1.54%,25.41%,"$396,226.34","$80,095.13","131,978 CAI","652,888 CAI","8,935"
Legia Warsaw,LEG,$0.89,8.32%,5.29%,22.82%,44.87%,"$377,988.06","$110,505.84","124,791 LEG","426,850 LEG","7,118"
Team Heretics,TH,$0.71,6.10%,2.26%,11.50%,13.19%,"$307,952.19","$88,626.63","124,366 TH","432,137 TH","5,631"
Novara Calcio,NOV,$0.90,1.92%,3.24%,15.39%,14.84%,"$181,894.30","$115,521.10","127,736 NOV","201,117 NOV","3,461"
Fortuna Sittard,FOR,$0.72,18.54%,5.17%,20.82%,39.42%,"$105,118.20","$71,115.68","1,750,860 FOR","145,000 FOR","6,652"
